Year,Population,Pensions,,Health,,Education,,Defense,,Wellfare,,Protection,,Transportation,,General,
1847,21.154,0.00,,0.00,,0.00,,0.05,a,0.00,,0.00,,0.00,,0.00,
1848,21.813,0.00,,0.00,,0.00,,0.04,a,0.00,,0.00,,0.00,,0.00,
1849,22.492,0.00,,0.00,,0.00,,0.03,a,0.00,,0.00,,0.00,,0.00,
1850,23.192,0.00,,0.00,,0.00,,0.02,a,0.00,,0.00,,0.00,,0.00,
1851,23.909,0.00,,0.00,,0.00,,0.02,a,0.00,,0.00,,0.00,,0.00,
1852,24.648,0.00,,0.00,,0.00,,0.02,a,0.00,,0.00,,0.00,,0.00,
1853,25.409,0.00,,0.00,,0.00,,0.02,a,0.00,,0.00,,0.00,,0.00,
1854,26.195,0.00,,0.00,,0.00,,0.02,a,0.00,,0.00,,0.00,,0.00,
1855,27.004,0.00,,0.00,,0.00,,0.03,a,0.00,,0.00,,0.00,,0.00,
1856,27.839,0.00,,0.00,,0.00,,0.03,a,0.00,,0.00,,0.00,,0.00,
1857,28.699,0.00,,0.00,,0.00,,0.03,a,0.00,,0.00,,0.00,,0.00,
1858,29.586,0.00,,0.00,,0.00,,0.04,a,0.00,,0.00,,0.00,,0.00,
1859,30.501,0.00,,0.00,,0.00,,0.04,a,0.00,,0.00,,0.00,,0.00,
1860,31.443,0.00,,0.00,,0.00,,0.03,a,0.00,,0.00,,0.00,,0.00,
1861,32.091,0.00,,0.00,,0.00,,0.04,a,0.00,,0.00,,0.00,,0.00,
1862,32.753,0.00,,0.00,,0.00,,0.44,a,0.00,,0.00,,0.00,,0.00,
1863,33.428,0.00,,0.00,,0.00,,0.66,a,0.00,,0.00,,0.00,,0.00,
1864,34.117,0.00,,0.00,,0.00,,0.78,a,0.00,,0.00,,0.00,,0.00,
1865,34.820,0.00,,0.00,,0.00,,1.17,a,0.00,,0.00,,0.00,,0.00,
1866,35.537,0.00,,0.00,,0.00,,0.34,a,0.00,,0.00,,0.00,,0.00,
1867,36.270,0.00,,0.00,,0.00,,0.15,a,0.00,,0.00,,0.00,,0.00,
1868,37.017,0.00,,0.00,,0.00,,0.17,a,0.00,,0.00,,0.00,,0.00,
1869,37.780,0.00,,0.00,,0.00,,0.13,a,0.00,,0.00,,0.00,,0.00,
1870,38.558,0.00,,0.00,,0.00,,0.11,a,0.00,,0.00,,0.00,,0.00,
1871,39.588,0.00,,0.00,,0.00,,0.09,a,0.00,,0.00,,0.00,,0.00,
1872,40.646,0.00,,0.00,,0.00,,0.09,a,0.00,,0.00,,0.00,,0.00,
