"", "", ""
Other,,Interest,,Total,
0.01,a,0.00,a,0.06,a
0.01,a,0.00,a,0.05,a
0.02,a,0.00,a,0.05,a
0.02,a,0.00,a,0.04,a
0.03,a,0.00,a,0.05,a
0.03,a,0.00,a,0.05,a
0.03,a,0.00,a,0.06,a
0.04,a,0.00,a,0.07,a
0.04,a,0.00,a,0.07,a
0.05,a,0.00,a,0.08,a
0.04,a,0.00,a,0.08,a
0.04,a,0.00,a,0.09,a
0.04,a,0.00,a,0.08,a
0.05,a,0.00,a,0.08,a
0.04,a,0.00,a,0.08,a
0.03,a,0.01,a,0.49,a
0.04,a,0.02,a,0.73,a
0.04,a,0.05,a,0.88,a
0.06,a,0.08,a,1.31,a
0.06,a,0.13,a,0.54,a
0.09,a,0.14,a,0.38,a
0.09,a,0.14,a,0.40,a
0.09,a,0.13,a,0.35,a
0.10,a,0.13,a,0.33,a
0.10,a,0.13,a,0.32,a
0.10,a,0.12,a,0.30,a
0.12,a,0.10,a,0.32,a
0.13,a,0.11,a,0.33,a
0.11,a,0.10,a,0.31,a
0.11,a,0.10,a,0.30,a
0.10,a,0.10,a,0.27,a
0.09,a,0.10,a,0.27,a
0.10,a,0.11,a,0.30,a
0.10,a,0.10,a,0.30,a
0.11,a,0.08,a,0.30,a
0.11,a,0.07,a,0.30,a
0.12,a,0.06,a,0.31,a
0.12,a,0.05,a,0.29,a
0.14,a,0.05,a,0.31,a
0.13,a,0.05,a,0.29,a
0.14,a,0.05,a,0.32,a
0.14,a,0.04,a,0.32,a
0.17,a,0.04,a,0.36,a
0.17,a,0.04,a,0.38,a
0.20,a,0.04,a,0.44,a
0.19,a,0.02,a,0.42,a
0.20,a,0.03,a,0.47,a
0.20,a,0.03,a,0.45,a
0.19,a,0.03,a,0.44,a
0.19,a,0.04,a,0.44,a
0.20,a,0.04,a,0.46,a
0.21,a,0.04,a,0.54,a
0.23,a,0.04,a,0.71,a
0.26,a,0.04,a,0.63,a
0.26,a,0.03,a,0.64,a
0.16,a,0.03,a,0.57,a
0.18,i,0.03,i,0.60,i
0.19,i,0.03,i,0.63,i
0.20,i,0.03,i,0.66,i
0.22,i,0.03,i,0.69,i
0.23,i,0.03,i,0.73,i
0.25,i,0.03,i,0.76,i
0.27,i,0.03,i,0.80,i
0.29,i,0.03,i,0.84,i
0.31,i,0.02,i,0.88,i
0.33,i,0.02,i,0.93,i
0.36,a,0.02,a,0.97,a
0.39,i,0.02,i,1.01,i
0.42,i,0.02,i,1.05,i
0.46,i,0.02,i,1.04,i
0.51,i,0.02,i,2.31,i
0.55,i,0.19,i,13.04,i
0.60,i,0.62,i,18.85,i
0.66,i,1.02,i,6.79,i
0.72,i,1.00,i,5.51,i
0.63,a,0.99,a,3.76,a
0.67,i,0.94,i,3.72,i
0.70,i,0.89,i,3.67,i
0.74,i,0.85,i,3.62,i
0.78,i,0.80,i,3.58,i
0.82,a,0.76,a,3.53,a
0.85,i,0.72,i,3.67,i
0.87,i,0.69,i,3.81,i
0.90,i,0.65,i,3.96,i
0.93,i,0.61,i,4.11,i
0.96,a,0.58,a,4.27,a
1.34,i,0.66,i,5.10,i
1.73,a,0.73,a,5.94,a
2.22,i,0.73,i,7.55,i
2.72,a,0.72,a,9.17,a
2.68,i,0.78,i,8.81,i
2.64,a,0.84,a,8.45,a
2.98,i,0.87,i,9.26,i
2.51,a,0.90,a,9.47,a
2.38,i,0.94,a,13.65,a
2.25,a,1.05,a,35.14,a
2.38,i,1.53,a,78.56,a
2.50,a,2.22,a,91.30,a
2.65,i,3.11,a,92.71,a
2.81,a,4.11,a,55.23,a
2.27,i,4.20,a,34.50,a
1.73,a,4.34,a,29.76,a
3.03,i,4.52,a,38.84,a
4.34,a,4.81,a,42.56,a
3.03,a,4.67,a,45.51,a
2.48,a,4.70,a,67.69,a
4.11,a,5.16,a,76.10,a
5.62,a,4.81,a,70.86,a
5.55,a,4.85,a,68.44,a
5.72,a,5.08,a,70.64,a
5.21,a,5.35,a,76.58,a
5.16,a,5.60,a,82.41,a
6.89,a,5.76,a,92.10,a
5.90,a,6.95,a,92.19,a
8.43,a,6.72,a,97.72,a
9.02,a,6.89,a,106.82,a
9.70,a,7.74,a,111.32,a
12.79,a,8.20,a,118.53,a
14.17,a,8.59,a,118.23,a
15.50,a,9.39,a,134.53,a
16.11,a,10.27,a,157.46,a
17.62,a,11.09,a,178.13,a
14.64,a,12.70,a,183.64,a
16.93,a,14.38,a,195.65,a
16.43,a,14.84,a,210.17,a
19.09,a,15.48,a,230.68,a
15.18,a,17.35,a,245.71,a
14.15,a,21.45,a,269.36,a
27.79,a,23.25,a,332.33,a
28.91,a,26.73,a,371.79,a
33.68,a,29.90,a,409.22,a
49.59,a,35.46,a,458.75,a
48.13,a,42.63,a,504.03,a
53.43,a,52.53,a,590.94,a
53.38,a,68.77,a,678.24,a
56.12,a,85.03,a,745.74,a
54.24,a,89.81,a,808.36,a
47.03,a,111.10,a,851.81,a
56.95,a,129.48,a,946.34,a
63.89,a,136.02,a,990.38,a
55.81,a,138.61,a,1004.02,a
62.61,a,151.80,a,1064.42,a
77.01,a,168.98,a,1143.74,a
116.41,a,184.35,a,1252.99,a
128.04,a,194.45,a,1324.23,a
67.04,a,199.34,a,1381.53,a
41.49,a,198.71,a,1409.39,a
54.68,a,202.93,a,1461.75,a
30.89,a,232.13,a,1515.74,a
40.56,a,241.05,a,1560.48,a
23.82,a,243.98,a,1601.12,a
46.09,a,241.12,a,1652.46,a
68.95,a,229.76,a,1701.84,a
79.84,a,222.95,a,1788.95,a
